league_name,seasons
Chinese Football Association Super League,/en/comps/62/Chinese-Super-League-Stats
Chinese Football Association Super League,/en/comps/62/2024/2024-Chinese-Super-League-Stats
Chinese Football Association Super League,/en/comps/62/2023/2023-Chinese-Super-League-Stats
Chinese Football Association Super League,/en/comps/62/2022/2022-Chinese-Super-League-Stats
Chinese Football Association Super League,/en/comps/62/2021/2021-Chinese-Super-League-Stats
Chinese Football Association Super League,/en/comps/62/2020/2020-Chinese-Super-League-Stats
Chinese Football Association Super League,/en/comps/62/2019/2019-Chinese-Super-League-Stats
Chinese Football Association Super League,/en/comps/62/2018/2018-Chinese-Super-League-Stats
Chinese Football Association Super League,/en/comps/62/2017/2017-Chinese-Super-League-Stats
Chinese Football Association Super League,/en/comps/62/2016/2016-Chinese-Super-League-Stats
Chinese Football Association Super League,/en/comps/62/2015/2015-Chinese-Super-League-Stats
Chinese Football Association Super League,/en/comps/62/2014/2014-Chinese-Super-League-Stats
Chilean Primera División,/en/comps/35/Chilean-Primera-Division-Stats
Chilean Primera División,/en/comps/35/2024/2024-Chilean-Primera-Division-Stats
Chilean Primera División,/en/comps/35/2023/2023-Chilean-Primera-Division-Stats
Chilean Primera División,/en/comps/35/2022/2022-Chilean-Primera-Division-Stats
Chilean Primera División,/en/comps/35/2021/2021-Chilean-Primera-Division-Stats
Chilean Primera División,/en/comps/35/2020/2020-Chilean-Primera-Division-Stats
Chilean Primera División,/en/comps/35/2019/2019-Chilean-Primera-Division-Stats
Chilean Primera División,/en/comps/35/2018/2018-Chilean-Primera-Division-Stats
Chilean Primera División,/en/comps/35/2017/2017-Chilean-Primera-Division-Stats
Chilean Primera División,/en/comps/35/2016-2017/2016-2017-Chilean-Primera-Division-Stats
Chilean Primera División,/en/comps/35/2015-2016/2015-2016-Chilean-Primera-Division-Stats
Chilean Primera División,/en/comps/35/2014-2015/2014-2015-Chilean-Primera-Division-Stats
Canadian Premier League,/en/comps/211/Canadian-Premier-League-Stats
Canadian Premier League,/en/comps/211/2024/2024-Canadian-Premier-League-Stats
Canadian Premier League,/en/comps/211/2023/2023-Canadian-Premier-League-Stats
Canadian Premier League,/en/comps/211/2022/2022-Canadian-Premier-League-Stats
Canadian Premier League,/en/comps/211/2021/2021-Canadian-Premier-League-Stats
Canadian Premier League,/en/comps/211/2020/2020-Canadian-Premier-League-Stats
Canadian Premier League,/en/comps/211/2019/2019-Canadian-Premier-League-Stats
First Professional Football League,/en/comps/67/2025-2026/2025-2026-Bulgarian-First-League-Stats
First Professional Football League,/en/comps/67/Bulgarian-First-League-Stats
First Professional Football League,/en/comps/67/2023-2024/2023-2024-Bulgarian-First-League-Stats
First Professional Football League,/en/comps/67/2022-2023/2022-2023-Bulgarian-First-League-Stats
First Professional Football League,/en/comps/67/2021-2022/2021-2022-Bulgarian-First-League-Stats
First Professional Football League,/en/comps/67/2020-2021/2020-2021-Bulgarian-First-League-Stats
First Professional Football League,/en/comps/67/2019-2020/2019-2020-Bulgarian-First-League-Stats
First Professional Football League,/en/comps/67/2018-2019/2018-2019-Bulgarian-First-League-Stats
First Professional Football League,/en/comps/67/2017-2018/2017-2018-Bulgarian-First-League-Stats
First Professional Football League,/en/comps/67/2016-2017/2016-2017-Bulgarian-First-League-Stats
First Professional Football League,/en/comps/67/2015-2016/2015-2016-Bulgarian-First-League-Stats
First Professional Football League,/en/comps/67/2014-2015/2014-2015-Bulgarian-First-League-Stats
First Professional Football League,/en/comps/67/2013-2014/2013-2014-Bulgarian-First-League-Stats
First Professional Football League,/en/comps/67/2012-2013/2012-2013-Bulgarian-First-League-Stats
First Professional Football League,/en/comps/67/2011-2012/2011-2012-Bulgarian-First-League-Stats
First Professional Football League,/en/comps/67/2010-2011/2010-2011-Bulgarian-First-League-Stats
First Professional Football League,/en/comps/67/2009-2010/2009-2010-Bulgarian-First-League-Stats
Campeonato Brasileiro Série A,/en/comps/24/Serie-A-Stats
Campeonato Brasileiro Série A,/en/comps/24/2024/2024-Serie-A-Stats
Campeonato Brasileiro Série A,/en/comps/24/2023/2023-Serie-A-Stats
Campeonato Brasileiro Série A,/en/comps/24/2022/2022-Serie-A-Stats
Campeonato Brasileiro Série A,/en/comps/24/2021/2021-Serie-A-Stats
Campeonato Brasileiro Série A,/en/comps/24/2020/2020-Serie-A-Stats
Campeonato Brasileiro Série A,/en/comps/24/2019/2019-Serie-A-Stats
Campeonato Brasileiro Série A,/en/comps/24/2018/2018-Serie-A-Stats
Campeonato Brasileiro Série A,/en/comps/24/2017/2017-Serie-A-Stats
Campeonato Brasileiro Série A,/en/comps/24/2016/2016-Serie-A-Stats
Campeonato Brasileiro Série A,/en/comps/24/2015/2015-Serie-A-Stats
Campeonato Brasileiro Série A,/en/comps/24/2014/2014-Serie-A-Stats
División de Fútbol Profesional,/en/comps/74/Bolivian-Primera-Division-Stats
División de Fútbol Profesional,/en/comps/74/2024/2024-Bolivian-Primera-Division-Stats
División de Fútbol Profesional,/en/comps/74/2023/2023-Bolivian-Primera-Division-Stats
División de Fútbol Profesional,/en/comps/74/2022/2022-Bolivian-Primera-Division-Stats
División de Fútbol Profesional,/en/comps/74/2021/2021-Bolivian-Primera-Division-Stats
División de Fútbol Profesional,/en/comps/74/2020/2020-Bolivian-Primera-Division-Stats
División de Fútbol Profesional,/en/comps/74/2019/2019-Bolivian-Primera-Division-Stats
División de Fútbol Profesional,/en/comps/74/2018/2018-Bolivian-Primera-Division-Stats
División de Fútbol Profesional,/en/comps/74/2016-2017/2016-2017-Bolivian-Primera-Division-Stats
División de Fútbol Profesional,/en/comps/74/2015-2016/2015-2016-Bolivian-Primera-Division-Stats
División de Fútbol Profesional,/en/comps/74/2014-2015/2014-2015-Bolivian-Primera-Division-Stats
Austrian Football Bundesliga,/en/comps/56/2025-2026/2025-2026-Austrian-Bundesliga-Stats
Austrian Football Bundesliga,/en/comps/56/Austrian-Bundesliga-Stats
Austrian Football Bundesliga,/en/comps/56/2023-2024/2023-2024-Austrian-Bundesliga-Stats
Austrian Football Bundesliga,/en/comps/56/2022-2023/2022-2023-Austrian-Bundesliga-Stats
Austrian Football Bundesliga,/en/comps/56/2021-2022/2021-2022-Austrian-Bundesliga-Stats
Austrian Football Bundesliga,/en/comps/56/2020-2021/2020-2021-Austrian-Bundesliga-Stats
Austrian Football Bundesliga,/en/comps/56/2019-2020/2019-2020-Austrian-Bundesliga-Stats
Austrian Football Bundesliga,/en/comps/56/2018-2019/2018-2019-Austrian-Bundesliga-Stats
Austrian Football Bundesliga,/en/comps/56/2017-2018/2017-2018-Austrian-Bundesliga-Stats
Austrian Football Bundesliga,/en/comps/56/2016-2017/2016-2017-Austrian-Bundesliga-Stats
Austrian Football Bundesliga,/en/comps/56/2015-2016/2015-2016-Austrian-Bundesliga-Stats
Austrian Football Bundesliga,/en/comps/56/2014-2015/2014-2015-Austrian-Bundesliga-Stats
Austrian Football Bundesliga,/en/comps/56/2013-2014/2013-2014-Austrian-Bundesliga-Stats
Austrian Football Bundesliga,/en/comps/56/2012-2013/2012-2013-Austrian-Bundesliga-Stats
Austrian Football Bundesliga,/en/comps/56/2011-2012/2011-2012-Austrian-Bundesliga-Stats
Austrian Football Bundesliga,/en/comps/56/2010-2011/2010-2011-Austrian-Bundesliga-Stats
Austrian Football Bundesliga,/en/comps/56/2009-2010/2009-2010-Austrian-Bundesliga-Stats
Austrian Football Bundesliga,/en/comps/56/2008-2009/2008-2009-Austrian-Bundesliga-Stats
Austrian Football Bundesliga,/en/comps/56/2007-2008/2007-2008-Austrian-Bundesliga-Stats
Austrian Football Bundesliga,/en/comps/56/2006-2007/2006-2007-Austrian-Bundesliga-Stats
